,Nompremier,Nomdeux,Score,Genre
194,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Mobile Fighter G Gundam'],4,"[' Sci-Fi', ' Mecha', ' Romance', ' Drama']"
195,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Turn A Gundam'],4,"[' Sci-Fi', ' Mecha', ' Romance', ' Drama']"
196,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Mobile Suit Gundam SEED Destiny'],4,"[' Sci-Fi', ' Mecha', ' Romance', ' Drama']"
197,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Mobile Suit Gundam SEED'],4,"[' Sci-Fi', ' Mecha', ' Romance', ' Drama']"
198,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]","[""Mobile Suit Gundam: Char's Counterattack""]",4,"['Military', ' Mecha', ' Drama', ' Sci-Fi']"
199,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Mobile Suit Zeta Gundam'],5,"[' Romance', 'Military', ' Mecha', ' Sci-Fi', ' Drama']"
200,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Mobile Suit Gundam 0083: Stardust Memory'],5,"[' Romance', 'Military', ' Mecha', ' Sci-Fi', ' Drama']"
201,['Mobile Suit Gundam 0083: Stardust Memory'],['Fruits Basket'],4,"[' Space', ' Drama', ' Adventure', ' Sci-Fi']"
202,['Mobile Suit Gundam 0083: Stardust Memory'],['Uchuu no Stellvia'],4,"[' Space', ' Mecha', ' Romance', ' Sci-Fi']"
203,['Mobile Suit Gundam 0083: Stardust Memory'],['Mobile Fighter G Gundam'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
204,['Mobile Suit Gundam 0083: Stardust Memory'],['Turn A Gundam'],6,"[' Romance', ' Adventure', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
